source_county,month,movement_class,class_total,anchor_destination,anchor_count,conditional_remainder,total_variation_residual
HIGHLAND,8,indirect,314.0,GRAMPIAN,70.0,244.0,0.025873636310600325
HUMBERSIDE,6,direct,1264.0,WEST YORKSHIRE,117.0,1147.0,0.08450484531545592
HUMBERSIDE,6,indirect,1269.0,WEST YORKSHIRE,307.0,962.0,0.10794673338699347
HUMBERSIDE,7,direct,922.0,WEST YORKSHIRE,71.0,851.0,0.13939156086653515
HUMBERSIDE,7,indirect,920.0,WEST YORKSHIRE,289.0,631.0,0.17731656348311156
HUMBERSIDE,8,direct,961.0,WEST YORKSHIRE,110.0,851.0,0.1144905675414176
HUMBERSIDE,8,indirect,915.0,WEST YORKSHIRE,320.0,595.0,0.1826086164620278
ISLE OF WIGHT,6,direct,147.0,SOMERSET,48.0,99.0,0.37259615384615385
ISLE OF WIGHT,6,indirect,16.0,SOMERSET,0.0,16.0,0.4375
ISLE OF WIGHT,7,direct,149.0,SOMERSET,75.0,74.0,0.029950623700623676
ISLE OF WIGHT,7,indirect,19.0,SOMERSET,4.0,15.0,0.33125
ISLE OF WIGHT,8,direct,169.0,SOMERSET,74.0,95.0,0.22522773279352226
ISLE OF WIGHT,8,indirect,18.0,SOMERSET,6.0,12.0,0.3854166666666667
KENT,6,direct,895.0,HAMPSHIRE,213.0,682.0,0.2212197266083735
KENT,6,indirect,284.0,HAMPSHIRE,93.0,191.0,0.28326988554658383
KENT,7,direct,793.0,HAMPSHIRE,179.0,614.0,0.18620239620694307
KENT,7,indirect,174.0,HAMPSHIRE,57.0,117.0,0.37615924798441036
KENT,8,direct,932.0,HAMPSHIRE,180.0,752.0,0.26190418228735574
KENT,8,indirect,326.0,HAMPSHIRE,68.0,258.0,0.3448467698732125
LANCASHIRE,6,direct,3791.0,GREATER MANCHESTER,540.0,3251.0,0.05535401260977529
LANCASHIRE,6,indirect,961.0,GREATER MANCHESTER,264.0,697.0,0.16179253261863172
LANCASHIRE,7,direct,3824.0,GREATER MANCHESTER,495.0,3329.0,0.05161306008066384
LANCASHIRE,7,indirect,889.0,GREATER MANCHESTER,250.0,639.0,0.08589847644886489
LANCASHIRE,8,direct,3970.0,GREATER MANCHESTER,515.0,3455.0,0.09178057822622462
LANCASHIRE,8,indirect,930.0,GREATER MANCHESTER,275.0,655.0,0.24198566545580022
LEICESTERSHIRE,6,direct,2721.0,LINCOLNSHIRE,1023.0,1698.0,0.07411080657694699
LEICESTERSHIRE,6,indirect,685.0,LINCOLNSHIRE,166.0,519.0,0.151172622067254
LEICESTERSHIRE,7,direct,2717.0,LINCOLNSHIRE,1097.0,1620.0,0.1242875772867204
LEICESTERSHIRE,7,indirect,508.0,LINCOLNSHIRE,74.0,434.0,0.2177718409824953
LEICESTERSHIRE,8,direct,2823.0,LINCOLNSHIRE,1144.0,1679.0,0.14992432953378002
LEICESTERSHIRE,8,indirect,681.0,LINCOLNSHIRE,155.0,526.0,0.2585010833446916
LINCOLNSHIRE,6,direct,2882.0,SOUTH YORKSHIRE,398.0,2484.0,0.09244477525109936
LINCOLNSHIRE,6,indirect,949.0,SOUTH YORKSHIRE,136.0,813.0,0.2179882546995706
LINCOLNSHIRE,7,direct,2711.0,SOUTH YORKSHIRE,303.0,2408.0,0.08851463899032606
LINCOLNSHIRE,7,indirect,779.0,SOUTH YORKSHIRE,119.0,660.0,0.26668186336118027
LINCOLNSHIRE,8,direct,2317.0,SOUTH YORKSHIRE,319.0,1998.0,0.06451463269645087
LINCOLNSHIRE,8,indirect,655.0,SOUTH YORKSHIRE,69.0,586.0,0.24504545845642012
LOTHIAN,6,direct,1455.0,STRATHCLYDE,654.0,801.0,0.05377008626242186
LOTHIAN,6,indirect,294.0,STRATHCLYDE,104.0,190.0,0.20233253588516747
LOTHIAN,7,direct,1035.0,STRATHCLYDE,497.0,538.0,0.09964696105244801
LOTHIAN,7,indirect,310.0,STRATHCLYDE,137.0,173.0,0.18354243300052547
LOTHIAN,8,direct,1109.0,STRATHCLYDE,576.0,533.0,0.11063830333876506
LOTHIAN,8,indirect,255.0,STRATHCLYDE,112.0,143.0,0.24781468531468534
MERSEYSIDE,6,direct,210.0,SHROPSHIRE,72.0,138.0,0.20090458126641378
MERSEYSIDE,6,indirect,38.0,SHROPSHIRE,1.0,37.0,0.38230538230538236
MERSEYSIDE,7,direct,259.0,SHROPSHIRE,72.0,187.0,0.07204895380971178
MERSEYSIDE,7,indirect,50.0,SHROPSHIRE,1.0,49.0,0.24280481423338565
MERSEYSIDE,8,direct,171.0,SHROPSHIRE,54.0,117.0,0.060115872196409105
MERSEYSIDE,8,indirect,46.0,SHROPSHIRE,10.0,36.0,0.44017094017094016
MID GLAMORGAN,6,direct,201.0,SOMERSET,65.0,136.0,0.23101528747092062
MID GLAMORGAN,6,indirect,44.0,SOMERSET,4.0,40.0,0.2388888888888889
MID GLAMORGAN,7,direct,208.0,SOMERSET,70.0,138.0,0.23409481699828052
MID GLAMORGAN,7,indirect,32.0,SOMERSET,5.0,27.0,0.3648148148148148
MID GLAMORGAN,8,direct,226.0,SOMERSET,77.0,149.0,0.36603723505099917
MID GLAMORGAN,8,indirect,41.0,SOMERSET,8.0,33.0,0.27979797979797977
NORFOLK,6,direct,2621.0,LINCOLNSHIRE,806.0,1815.0,0.06109219310870732
NORFOLK,6,indirect,300.0,LINCOLNSHIRE,36.0,264.0,0.3645246148064637
NORFOLK,7,direct,2360.0,LINCOLNSHIRE,609.0,1751.0,0.17105917486516686
NORFOLK,7,indirect,258.0,LINCOLNSHIRE,21.0,237.0,0.38110256446848284
NORFOLK,8,direct,2053.0,LINCOLNSHIRE,480.0,1573.0,0.17807215046752
NORFOLK,8,indirect,153.0,LINCOLNSHIRE,15.0,138.0,0.35439439243174353
NORTH YORKSHIRE,6,direct,16526.0,LANCASHIRE,3378.0,13148.0,0.05563829748393353
NORTH YORKSHIRE,6,indirect,4902.0,LANCASHIRE,194.0,4708.0,0.07401335816048446
NORTH YORKSHIRE,7,direct,15899.0,LANCASHIRE,3739.0,12160.0,0.046785840199218436
NORTH YORKSHIRE,7,indirect,4551.0,LANCASHIRE,128.0,4423.0,0.07893797528163209
NORTH YORKSHIRE,8,direct,15170.0,LANCASHIRE,3536.0,11634.0,0.0649461464126024
NORTH YORKSHIRE,8,indirect,4582.0,LANCASHIRE,69.0,4513.0,0.07620684843475026
NORTHAMPTONSHIRE,6,direct,1966.0,LINCOLNSHIRE,976.0,990.0,0.10637773079633545
NORTHAMPTONSHIRE,6,indirect,334.0,LINCOLNSHIRE,74.0,260.0,0.211599815936805
NORTHAMPTONSHIRE,7,direct,2808.0,LINCOLNSHIRE,1094.0,1714.0,0.220863214106274
NORTHAMPTONSHIRE,7,indirect,346.0,LINCOLNSHIRE,50.0,296.0,0.2819143919592574
NORTHAMPTONSHIRE,8,direct,2683.0,LINCOLNSHIRE,1224.0,1459.0,0.27828921215598934
NORTHAMPTONSHIRE,8,indirect,247.0,LINCOLNSHIRE,37.0,210.0,0.26973840383611075
NORTHUMBERLAND,6,direct,2997.0,CENTRAL,901.0,2096.0,0.15611284926671123
NORTHUMBERLAND,6,indirect,409.0,CENTRAL,18.0,391.0,0.1443228592944614
NORTHUMBERLAND,7,direct,2209.0,CENTRAL,888.0,1321.0,0.15607131632681082
NORTHUMBERLAND,7,indirect,412.0,CENTRAL,12.0,400.0,0.11961152589827347
NORTHUMBERLAND,8,direct,2984.0,CENTRAL,1006.0,1978.0,0.13624947711747507
NORTHUMBERLAND,8,indirect,418.0,CENTRAL,1.0,417.0,0.15024657828566826
NOTTINGHAMSHIRE,6,direct,3973.0,LINCOLNSHIRE,1219.0,2754.0,0.19633227829123417
NOTTINGHAMSHIRE,6,indirect,542.0,LINCOLNSHIRE,101.0,441.0,0.20180615341236244
NOTTINGHAMSHIRE,7,direct,3566.0,LINCOLNSHIRE,974.0,2592.0,0.26231364699527226
NOTTINGHAMSHIRE,7,indirect,433.0,LINCOLNSHIRE,75.0,358.0,0.29497271626539073
NOTTINGHAMSHIRE,8,direct,2981.0,LINCOLNSHIRE,932.0,2049.0,0.22239385919184235
