target_id,kind,checkpoint,destination,source_total_kg,observed_kg,lower_kg,upper_kg,covered,width_over_source
8982689288AAE8DF|2016-05-07|Gare de la Guinée,known_route,Sebeninkoro,Naréna,2464.0,0.0,0.0,1871.0869707479874,True,0.7593697121542157
8982689288AAE8DF|2016-05-07|Gare de la Guinée,known_route,Sebeninkoro,Siguiri (Guinée),2464.0,0.0,0.0,1771.1950788560955,True,0.7188291716136751
8982689288AAE8DF|2016-05-07|Gare de la Guinée,unresolved_route,,UNRESOLVED,2464.0,0.0,0.0,2464.0,True,1.0
8982689288AAE8DF|2016-05-08|Gare de la Guinée,known_route,Sebeninkoro,Kangaba,308.0,0.0,0.0,221.39938485701194,True,0.7188291716136751
8982689288AAE8DF|2016-05-08|Gare de la Guinée,known_route,Sebeninkoro,Koflatyé,308.0,0.0,0.0,296.3183037759309,True,0.9620724148569184
8982689288AAE8DF|2016-05-08|Gare de la Guinée,known_route,Sebeninkoro,Kokoyo,308.0,0.0,0.0,271.3453308029579,True,0.8809913337758374
8982689288AAE8DF|2016-05-08|Gare de la Guinée,known_route,Sebeninkoro,Kourémalé (Mali),308.0,0.0,0.0,308.0,True,1.0
8982689288AAE8DF|2016-05-08|Gare de la Guinée,known_route,Sebeninkoro,Naréna,308.0,0.0,0.0,233.88587134349842,True,0.7593697121542157
8982689288AAE8DF|2016-05-08|Gare de la Guinée,known_route,Sebeninkoro,Siguiri (Guinée),308.0,0.0,0.0,221.39938485701194,True,0.7188291716136751
8982689288AAE8DF|2016-05-08|Gare de la Guinée,unresolved_route,,UNRESOLVED,308.0,308.0,0.0,308.0,True,1.0
8982689288AAE8DF|2016-05-09|Gare de la Guinée,known_route,Sebeninkoro,Kangaba,3757.6000000000004,739.2,0.0,2701.0724952555456,True,0.7188291716136751
8982689288AAE8DF|2016-05-09|Gare de la Guinée,known_route,Sebeninkoro,Koflatyé,3757.6000000000004,369.6,0.0,3615.083306066357,True,0.9620724148569184
8982689288AAE8DF|2016-05-09|Gare de la Guinée,known_route,Sebeninkoro,Kokoyo,3757.6000000000004,0.0,0.0,3310.4130357960867,True,0.8809913337758374
8982689288AAE8DF|2016-05-09|Gare de la Guinée,known_route,Sebeninkoro,Kourémalé (Mali),3757.6000000000004,308.0,0.0,3757.6000000000004,True,1.0
8982689288AAE8DF|2016-05-09|Gare de la Guinée,known_route,Sebeninkoro,Naréna,3757.6000000000004,0.0,0.0,2853.407630390681,True,0.7593697121542157
8982689288AAE8DF|2016-05-09|Gare de la Guinée,known_route,Sebeninkoro,Siguiri (Guinée),3757.6000000000004,0.0,0.0,2701.0724952555456,True,0.7188291716136751
8982689288AAE8DF|2016-05-09|Gare de la Guinée,unresolved_route,,UNRESOLVED,3757.6000000000004,2340.8,0.0,3757.6000000000004,True,1.0
